City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,bikenibeu village,1.3673,173.1241,29.98,74,75,4.63,KI,1725309134
255,alice springs,-23.7,133.8833,11.75,66,0,2.57,AU,1725309136
256,masterton,-40.9597,175.6575,15.32,66,3,5.35,NZ,1725309137
257,alofi,-19.0595,-169.9187,21.94,83,40,4.12,NU,1725309138
258,klyuchi,52.2667,79.1667,12.77,58,100,8.9,RU,1725309139
259,fort bragg,35.139,-79.006,27.12,85,41,4.96,US,1725309141
260,sikasso,10.9167,-7.0,23.22,95,60,1.98,ML,1725309142
261,oranjemund,-28.55,16.4333,16.54,69,4,1.25,NA,1725309143
262,singkil,-7.9855,111.4161,21.05,94,9,2.11,ID,1725309144
263,dessalines,19.2833,-72.5,31.58,57,66,3.69,HT,1725309146
264,labytnangi,66.6572,66.4183,7.89,78,100,5.45,RU,1725309147
265,kalabo,-14.97,22.6814,21.47,25,0,4.71,ZM,1725309148
266,beeville,28.4008,-97.7483,33.68,61,88,5.04,US,1725309149
267,katsuura,35.1333,140.3,25.16,93,98,8.18,JP,1725309150
268,goth phulji,26.8825,67.6807,31.32,56,99,2.13,PK,1725309152
269,chonchi,-42.6128,-73.8092,9.51,82,83,3.09,CL,1725309087
270,san luis ixcan,15.7872,-91.095,33.32,45,53,1.9,GT,1725309154
271,pangody,65.85,74.4859,6.96,94,100,4.15,RU,1725309136
272,campbell river,50.0163,-125.2446,22.47,56,75,3.6,CA,1725308980
273,hirara,24.8,125.2833,27.15,94,20,2.57,JP,1725309158
274,nishon tumani,38.694,65.6751,19.14,30,0,2.06,UZ,1725309159
275,akureyri,65.6835,-18.0878,9.96,81,75,4.63,IS,1725309160
276,flin flon,54.7682,-101.865,30.96,24,0,3.58,CA,1725309161
277,tofol,5.3248,163.0078,28.22,75,76,3.11,FM,1725309163
278,strathfieldsaye,-36.8,144.3667,2.92,51,6,1.44,AU,1725309164
279,ulladulla,-35.35,150.4667,7.39,59,0,2.87,AU,1725309165
280,kristiansund,63.1115,7.732,13.36,88,40,3.09,NO,1725309166
281,coronel dorrego,-38.7187,-61.2873,15.69,35,100,6.92,AR,1725309168
282,anchorage,61.2181,-149.9003,13.9,87,100,2.06,US,1725309000
283,nar'yan-mar,67.6713,53.087,6.8,76,100,5.71,RU,1725309170
284,mar del plata,-38.0023,-57.5575,14.51,81,75,4.92,AR,1725309171
285,pisco,-13.7,-76.2167,19.03,68,0,3.6,PE,1725309174
286,sinop,41.7711,34.8709,17.96,84,27,0.74,TR,1725309175
287,kununurra,-15.7667,128.7333,23.99,73,1,5.14,AU,1725309176
288,port alfred,-33.5906,26.891,16.77,86,2,1.79,ZA,1725309177
289,basco,20.4487,121.9702,29.56,79,100,9.5,PH,1725309179
290,whitecourt,54.1502,-115.6855,22.58,64,75,1.03,CA,1725309180
291,saudarkrokur,65.7461,-19.6394,8.74,89,100,2.18,IS,1725309181
292,tidjikja,18.5564,-11.4271,34.39,30,28,8.97,MR,1725309182
293,sokcho,38.2083,128.5911,20.34,88,1,2.57,KR,1725309183
294,tiksi,71.6872,128.8694,3.3,91,8,2.69,RU,1725309185
295,palafrugell,41.9174,3.1631,24.06,50,4,0.89,ES,1725309186
296,puerto deseado,-47.7503,-65.8938,7.81,59,8,5.98,AR,1725309030
297,zhigalovo,54.8097,105.1578,8.76,94,88,1.68,RU,1725309188
298,nouadhibou,20.931,-17.0347,21.99,78,56,8.23,MR,1725309190
299,argayash,55.4888,60.8767,13.57,72,100,6.53,RU,1725309191
300,minas de marcona,-15.2119,-75.1103,15.96,56,42,6.84,PE,1725309192
301,balaklava,44.5,33.6,24.65,59,3,1.8,UA,1725309193
302,al burayqah,30.4062,19.5739,27.27,71,0,5.4,LY,1725309196
303,pecanha,-18.5486,-42.5569,24.21,31,2,2.71,BR,1725309197
304,kamin-kashyrskyi,51.6241,24.9586,19.27,38,96,3.18,UA,1725309198
305,palikir - national government center,6.9248,158.1611,24.41,88,100,1.54,FM,1725309199
306,santarem,-2.4431,-54.7083,33.07,55,0,5.66,BR,1725309201
307,funafuti,-8.5243,179.1942,26.0,94,75,8.23,TV,1725309202
308,carutapera,-1.195,-46.02,26.48,77,71,4.63,BR,1725309203
309,crixas,-14.5489,-49.9692,31.92,12,5,2.81,BR,1725309204
310,sao vicente,-23.9631,-46.3919,18.98,26,100,1.03,BR,1725309206
311,walvis bay,-22.9575,14.5053,22.26,34,9,3.41,NA,1725309207
312,boden,65.8252,21.6886,13.89,88,76,2.85,SE,1725309208
313,guayaramerin,-10.8368,-65.3614,38.74,14,6,1.65,BO,1725309209
314,kish,26.5578,54.0194,33.15,75,44,3.09,IR,1725309210
315,camarinas,43.1311,-9.1817,17.18,72,41,7.68,ES,1725309212
316,bamboo flat,11.7,92.7167,26.57,82,100,7.22,IN,1725309213
317,ambovombe,-25.1667,46.0833,18.94,82,42,6.08,MG,1725309214
318,touros,-5.1989,-35.4608,24.25,70,23,6.65,BR,1725309215
319,weno,7.4515,151.8468,25.97,89,100,3.6,FM,1725309217
320,macapa,0.0389,-51.0664,31.99,66,20,5.14,BR,1725308955
321,dhidhdhoo,6.8833,73.1,28.14,80,100,6.69,MV,1725309219
322,tangalle,6.024,80.7911,26.2,87,100,6.03,LK,1725309220
323,saldanha,-33.0117,17.9442,15.03,84,1,0.89,ZA,1725309223
324,prado,-17.3411,-39.2208,23.53,75,0,6.52,BR,1725309224
325,amahai,-3.3333,128.9167,24.73,90,100,0.76,ID,1725309225
326,anadyr,64.75,177.4833,10.28,81,20,7.6,RU,1725309226
327,cozumel,20.5083,-86.9458,28.86,89,100,3.09,MX,1725309228
328,hilo,19.7297,-155.09,27.28,84,100,3.58,US,1725309229
329,upington,-28.4478,21.2561,21.21,23,2,3.6,ZA,1725309230
330,santander,43.4647,-3.8044,17.48,96,75,3.6,ES,1725309021
331,fujiyoshida,35.4396,138.7872,18.8,98,37,1.15,JP,1725309232
332,horqueta,-23.3428,-57.0597,30.1,26,0,0.16,PY,1725309234
333,lensk,60.7253,114.9278,6.95,99,73,2.32,RU,1725309235
334,flying fish cove,-10.4217,105.6791,24.82,88,100,4.63,CX,1725309236
335,vilyuchinsk,52.9306,158.4028,13.15,86,100,2.33,RU,1725309237
336,luchow,52.9667,11.15,18.57,52,100,3.16,DE,1725309238
337,chibougamau,49.9168,-74.3659,9.79,62,100,7.2,CA,1725309139
338,penzance,50.1186,-5.5371,16.38,89,98,8.47,GB,1725309241
339,dukhan,25.4297,50.7858,32.51,66,78,4.44,QA,1725309242
340,saint john,45.2727,-66.0677,21.57,46,75,4.12,CA,1725309027
341,ketchikan,55.3422,-131.6461,14.26,82,100,2.06,US,1725309246
342,villa de arista,22.65,-100.8333,29.3,36,41,7.28,MX,1725309247
343,frontera,26.9333,-101.45,27.72,67,98,1.79,MX,1725309248
344,puerto quijarro,-17.7833,-57.7667,36.42,14,1,1.97,BO,1725309251
345,mauganj,24.6833,81.8833,25.84,82,70,2.72,IN,1725309252
346,mili,6.0815,171.735,28.78,75,32,3.83,MH,1725309253
347,ola,59.5833,151.2833,9.28,86,49,3.33,RU,1725309254
348,vila franca do campo,37.7167,-25.4333,22.23,68,93,3.97,PT,1725309256
